Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3510500;Interior;Caraguatatuba;17994;460;;;
3510609;RMSP (exceto capital);Carapicuíba;33197;1135;;;
3510708;Interior;Cardoso;1662;61;;;
3510807;Interior;Casa Branca;3271;97;;;
3510906;Interior;Cássia dos Coqueiros;253;1;;;
3511003;Interior;Castilho;2384;88;;;
3511102;Interior;Catanduva;15963;614;;;
3511201;Interior;Catiguá;879;39;;;
3511300;Interior;Cedral;1334;30;;;
3511409;Interior;Cerqueira César;2164;48;;;
3511508;Interior;Cerquilho;6512;157;;;
3511607;Interior;Cesário Lange;2352;69;;;
3511706;Interior;Charqueada;1486;44;;;
3511904;Interior;Clementina;966;21;;;
3512001;Interior;Colina;1635;58;;;
3512100;Interior;Colômbia;690;14;;;
3512209;Interior;Conchal;2899;73;;;
3512308;Interior;Conchas;2447;72;;;
3512407;Interior;Cordeirópolis;5906;98;;;
3512506;Interior;Coroados;762;20;;;
3512605;Interior;Coronel Macedo;666;25;;;
3512704;Interior;Corumbataí;400;7;;;
3512803;Interior;Cosmópolis;7916;172;;;
3512902;Interior;Cosmorama;793;38;;;
3513009;RMSP (exceto capital);Cotia;15920;638;;;
3513108;Interior;Cravinhos;2203;96;;;
3513207;Interior;Cristais Paulista;1292;15;;;
3513306;Interior;Cruzália;198;6;;;
3513405;Interior;Cruzeiro;6768;100;;;
3513504;Interior;Cubatão;13812;476;;;
3513603;Interior;Cunha;962;13;;;
3513702;Interior;Descalvado;4188;81;;;
3513801;RMSP (exceto capital);Diadema;26410;1377;;;
3513850;Interior;Dirce Reis;195;5;;;
3513900;Interior;Divinolândia;1370;48;;;
3514007;Interior;Dobrada;614;9;;;
3514106;Interior;Dois Córregos;1820;42;;;
3514205;Interior;Dolcinópolis;249;7;;;
3514304;Interior;Dourado;987;19;;;
3514403;Interior;Dracena;5856;261;;;
3514502;Interior;Duartina;1125;29;;;
3514601;Interior;Dumont;1503;23;;;
3514700;Interior;Echaporã;806;25;;;
3514809;Interior;Eldorado;1651;26;;;
3514908;Interior;Elias Fausto;1524;36;;;
3514924;Interior;Elisiário;579;8;;;
3514957;Interior;Embaúba;120;10;;;
3515004;RMSP (exceto capital);Embu das Artes;10650;601;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5114;213;;;
3515129;Interior;Emilianópolis;370;8;;;
3515152;Interior;Engenheiro Coelho;2687;55;;;
3515186;Interior;Espírito Santo do Pinhal;4919;108;;;
3515194;Interior;Espírito Santo do Turvo;468;8;;;
3515202;Interior;Estrela d'Oeste;1534;29;;;
3515301;Interior;Estrela do Norte;379;6;;;
3515350;Interior;Euclides da Cunha Paulista;503;15;;;
3515400;Interior;Fartura;2325;46;;;
3515509;Interior;Fernandópolis;12695;353;;;
3515608;Interior;Fernando Prestes;885;10;;;
3515657;Interior;Fernão;218;1;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10390;481;;;
3515806;Interior;Flora Rica;129;6;;;
3515905;Interior;Floreal;260;6;;;
3516002;Interior;Flórida Paulista;1271;34;;;
3516101;Interior;Florínea;385;11;;;
3516200;Interior;Franca;38487;869;;;
3516309;RMSP (exceto capital);Francisco Morato;11823;436;;;
3516408;RMSP (exceto capital);Franco da Rocha;13084;390;;;
3516507;Interior;Gabriel Monteiro;325;6;;;
3516606;Interior;Gália;572;18;;;
3516705;Interior;Garça;5375;135;;;
3516804;Interior;Gastão Vidigal;205;16;;;
3516853;Interior;Gavião Peixoto;1346;21;;;
3516903;Interior;General Salgado;1106;41;;;
3517000;Interior;Getulina;1157;32;;;
3517109;Interior;Glicério;585;22;;;
3517208;Interior;Guaiçara;1371;24;;;
3517307;Interior;Guaimbê;583;8;;;
3517406;Interior;Guaíra;5714;218;;;
3517505;Interior;Guapiaçu;2045;78;;;
3517604;Interior;Guapiara;2305;85;;;
3517703;Interior;Guará;2451;104;;;
3517802;Interior;Guaraçaí;865;22;;;
3517901;Interior;Guaraci;1386;23;;;
3518008;Interior;Guarani d'Oeste;227;5;;;
3518107;Interior;Guarantã;287;20;;;
3518206;Interior;Guararapes;4208;110;;;
3518305;RMSP (exceto capital);Guararema;2265;99;;;
3518404;Interior;Guaratinguetá;10673;288;;;
3518503;Interior;Guareí;3427;30;;;
3518602;Interior;Guariba;4204;100;;;
3518701;Interior;Guarujá;22661;1272;;;
3518800;RMSP (exceto capital);Guarulhos;63299;4854;;;
3518859;Interior;Guatapará;496;22;;;
3518909;Interior;Guzolândia;576;30;;;
3519006;Interior;Herculândia;1158;24;;;
3519055;Interior;Holambra;2076;13;;;
3519071;Interior;Hortolândia;24878;750;;;
3519105;Interior;Iacanga;1561;28;;;
3519204;Interior;Iacri;619;15;;;
3519253;Interior;Iaras;287;21;;;
3519303;Interior;Ibaté;3997;103;;;
3519402;Interior;Ibirá;2047;43;;;
3519501;Interior;Ibirarema;795;30;;;
3519600;Interior;Ibitinga;9960;284;;;
3519709;Interior;Ibiúna;5197;135;;;
3519808;Interior;Icém;1223;27;;;
3519907;Interior;Iepê;947;26;;;
3520004;Interior;Igaraçu do Tietê;2843;67;;;
3520103;Interior;Igarapava;1377;90;;;
3520202;Interior;Igaratá;2146;34;;;
3520301;Interior;Iguape;2630;113;;;
3520400;Interior;Ilhabela;7409;41;;;
3520426;Interior;Ilha Comprida;1390;43;;;
3520442;Interior;Ilha Solteira;2890;101;;;
3520509;Interior;Indaiatuba;27507;721;;;
3520608;Interior;Indiana;251;9;;;
3520707;Interior;Indiaporã;417;13;;;
3520806;Interior;Inúbia Paulista;501;16;;;
3520905;Interior;Ipaussu;2307;45;;;
3521002;Interior;Iperó;3135;53;;;
3521101;Interior;Ipeúna;774;19;;;
3521150;Interior;Ipiguá;1070;26;;;
3521200;Interior;Iporanga;583;6;;;
3521309;Interior;Ipuã;2133;62;;;
3521408;Interior;Iracemápolis;4628;96;;;
3521507;Interior;Irapuã;946;29;;;
3521606;Interior;Irapuru;715;36;;;
3521705;Interior;Itaberá;2396;64;;;
3521804;Interior;Itaí;3040;76;;;
3521903;Interior;Itajobi;2591;56;;;
3522000;Interior;Itaju;551;8;;;
3522109;Interior;Itanhaém;6873;310;;;
3522158;Interior;Itaoca;285;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;8122;454;;;
3522307;Interior;Itapetininga;17602;549;;;
3522406;Interior;Itapeva;10781;429;;;
3522505;RMSP (exceto capital);Itapevi;12894;690;;;
3522604;Interior;Itapira;9589;314;;;
3522653;Interior;Itapirapuã Paulista;562;4;;;
3522703;Interior;Itápolis;5724;164;;;
3522802;Interior;Itaporanga;1669;52;;;
3522901;Interior;Itapuí;1531;40;;;
3523008;Interior;Itapura;310;14;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;20094;987;;;
3523206;Interior;Itararé;6238;244;;;
3523305;Interior;Itariri;1357;41;;;
3523404;Interior;Itatiba;12388;209;;;
3523503;Interior;Itatinga;2864;54;;;
3523602;Interior;Itirapina;1654;38;;;
3523701;Interior;Itirapuã;323;7;;;
3523800;Interior;Itobi;613;20;;;
3523909;Interior;Itu;23095;488;;;
3524006;Interior;Itupeva;6664;144;;;
3524105;Interior;Ituverava;2581;148;;;
3524204;Interior;Jaborandi;574;20;;;
3524303;Interior;Jaboticabal;7438;117;;;
3524402;Interior;Jacareí;25153;749;;;
3524501;Interior;Jaci;1357;27;;;
3524600;Interior;Jacupiranga;1694;49;;;
3524709;Interior;Jaguariúna;6383;109;;;
3524808;Interior;Jales;7173;259;;;
3524907;Interior;Jambeiro;417;13;;;
3525003;RMSP (exceto capital);Jandira;8063;313;;;
3525102;Interior;Jardinópolis;4211;136;;;
3525201;Interior;Jarinu;3077;74;;;
3525300;Interior;Jaú;11672;550;;;
3525409;Interior;Jeriquara;330;2;;;
3525508;Interior;Joanópolis;1205;7;;;
3525607;Interior;João Ramalho;664;12;;;
3525706;Interior;José Bonifácio;6070;148;;;
3525805;Interior;Júlio Mesquita;342;14;;;
3525854;Interior;Jumirim;536;8;;;
3525904;Interior;Jundiaí;53289;1556;;;
3526001;Interior;Junqueirópolis;2219;90;;;
3526100;Interior;Juquiá;1896;57;;;
3526209;RMSP (exceto capital);Juquitiba;1780;75;;;
3526308;Interior;Lagoinha;235;11;;;
3526407;Interior;Laranjal Paulista;4535;118;;;
3526506;Interior;Lavínia;944;17;;;
3526605;Interior;Lavrinhas;338;5;;;
3526704;Interior;Leme;13713;422;;;
3526803;Interior;Lençóis Paulista;12206;185;;;
3526902;Interior;Limeira;22552;1007;;;
3527009;Interior;Lindóia;859;17;;;
3527108;Interior;Lins;9299;290;;;
3527207;Interior;Lorena;5345;133;;;
3527256;Interior;Lourdes;298;6;;;
3527306;Interior;Louveira;5412;105;;;
3527405;Interior;Lucélia;1919;59;;;
3527504;Interior;Lucianópolis;346;6;;;
3527603;Interior;Luís Antônio;2142;33;;;
3527702;Interior;Luiziânia;295;11;;;
3527801;Interior;Lupércio;266;8;;;
3527900;Interior;Lutécia;230;6;;;
3528007;Interior;Macatuba;2834;59;;;
3528106;Interior;Macaubal;1014;18;;;
3528205;Interior;Macedônia;463;26;;;
3528304;Interior;Magda;382;10;;;
3528403;Interior;Mairinque;4400;61;;;
3528502;RMSP (exceto capital);Mairiporã;6775;228;;;
3528601;Interior;Manduri;987;21;;;
3528700;Interior;Marabá Paulista;108;4;;;
3528809;Interior;Maracaí;2141;46;;;
3528858;Interior;Marapoama;488;14;;;
3528908;Interior;Mariápolis;287;9;;;
3529005;Interior;Marília;30830;939;;;
3529104;Interior;Marinópolis;229;5;;;
3529203;Interior;Martinópolis;1962;80;;;
3529302;Interior;Matão;5537;207;;;
3529401;RMSP (exceto capital);Mauá;31881;1507;;;
3529500;Interior;Mendonça;976;30;;;
3529609;Interior;Meridiano;365;30;;;
3529658;Interior;Mesópolis;282;4;;;
3529708;Interior;Miguelópolis;1509;93;;;
3529807;Interior;Mineiros do Tietê;1457;31;;;
3529906;Interior;Miracatu;2371;72;;;
3530003;Interior;Mira Estrela;357;13;;;
3530102;Interior;Mirandópolis;2221;103;;;
3530201;Interior;Mirante do Paranapanema;1252;43;;;
3530300;Interior;Mirassol;9951;276;;;
3530409;Interior;Mirassolândia;761;17;;;
3530508;Interior;Mococa;5789;234;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;33442;1642;;;
3530706;Interior;Mogi Guaçu;19697;585;;;
3530805;Interior;Mogi Mirim;11995;347;;;
3530904;Interior;Mombuca;465;10;;;
3531001;Interior;Monções;249;6;;;
3531100;Interior;Mongaguá;2326;84;;;
3531209;Interior;Monte Alegre do Sul;659;9;;;
3531308;Interior;Monte Alto;6472;186;;;
3531407;Interior;Monte Aprazível;3062;89;;;
3531506;Interior;Monte Azul Paulista;2364;27;;;
3531605;Interior;Monte Castelo;675;16;;;
3531704;Interior;Monteiro Lobato;287;9;;;
3531803;Interior;Monte Mor;7099;135;;;
3531902;Interior;Morro Agudo;4630;101;;;
3532009;Interior;Morungaba;1079;26;;;
3532058;Interior;Motuca;363;9;;;
3532108;Interior;Murutinga do Sul;420;18;;;
3532157;Interior;Nantes;243;7;;;
3532207;Interior;Narandiba;878;21;;;
3532306;Interior;Natividade da Serra;217;10;;;
3532405;Interior;Nazaré Paulista;1616;48;;;
3532504;Interior;Neves Paulista;1421;42;;;
3532603;Interior;Nhandeara;1489;50;;;
3532702;Interior;Nipoã;512;15;;;
3532801;Interior;Nova Aliança;1143;24;;;
3532827;Interior;Nova Campina;884;37;;;
3532843;Interior;Nova Canaã Paulista;299;6;;;
3532868;Interior;Nova Castilho;112;3;;;
3532900;Interior;Nova Europa;828;29;;;
3533007;Interior;Nova Granada;3287;73;;;
3533106;Interior;Nova Guataporanga;218;4;;;
3533205;Interior;Nova Independência;547;6;;;
3533254;Interior;Novais;306;12;;;
3533304;Interior;Nova Luzitânia;386;13;;;
3533403;Interior;Nova Odessa;7240;206;;;
3533502;Interior;Novo Horizonte;6060;214;;;
3533601;Interior;Nuporanga;407;10;;;
3533700;Interior;Ocauçu;439;4;;;
3533809;Interior;Óleo;156;5;;;
3533908;Interior;Olímpia;10492;264;;;
3534005;Interior;Onda Verde;927;27;;;
3534104;Interior;Oriente;420;24;;;
3534203;Interior;Orindiúva;1331;18;;;
3534302;Interior;Orlândia;4716;121;;;
3534401;RMSP (exceto capital);Osasco;45237;2602;;;
3534500;Interior;Oscar Bressane;336;7;;;
3534609;Interior;Osvaldo Cruz;4484;119;;;
3534708;Interior;Ourinhos;15043;495;;;
3534757;Interior;Ouroeste;1411;44;;;
3534807;Interior;Ouro Verde;1006;27;;;
3534906;Interior;Pacaembu;1367;37;;;
3535002;Interior;Palestina;670;39;;;
3535101;Interior;Palmares Paulista;1654;44;;;
3535200;Interior;Palmeira d'Oeste;979;19;;;
3535309;Interior;Palmital;2889;70;;;
3535408;Interior;Panorama;1856;53;;;
3535507;Interior;Paraguaçu Paulista;5108;155;;;
3535606;Interior;Paraibuna;1250;46;;;
3535705;Interior;Paraíso;553;24;;;
3535804;Interior;Paranapanema;2140;72;;;
3535903;Interior;Paranapuã;520;22;;;
3536000;Interior;Parapuã;1556;39;;;
3536109;Interior;Pardinho;806;15;;;
3536208;Interior;Pariquera-Açu;2456;57;;;
3536257;Interior;Parisi;474;17;;;
3536307;Interior;Patrocínio Paulista;1131;33;;;
3536406;Interior;Paulicéia;848;21;;;
3536505;Interior;Paulínia;15652;303;;;
3536570;Interior;Paulistânia;202;5;;;
3536604;Interior;Paulo de Faria;672;36;;;
3536703;Interior;Pederneiras;5168;117;;;
3536802;Interior;Pedra Bela;231;4;;;
3536901;Interior;Pedranópolis;290;9;;;
3537008;Interior;Pedregulho;363;20;;;
3537107;Interior;Pedreira;4424;81;;;
3537156;Interior;Pedrinhas Paulista;438;7;;;
3537206;Interior;Pedro de Toledo;448;15;;;
3537305;Interior;Penápolis;7163;247;;;
3537404;Interior;Pereira Barreto;2734;103;;;
3537503;Interior;Pereiras;1186;22;;;
3537602;Interior;Peruíbe;7122;232;;;
3537701;Interior;Piacatu;802;10;;;
3537800;Interior;Piedade;6111;157;;;
3537909;Interior;Pilar do Sul;3031;81;;;
3538006;Interior;Pindamonhangaba;14994;371;;;
3538105;Interior;Pindorama;1948;56;;;
3538204;Interior;Pinhalzinho;1346;8;;;
3538303;Interior;Piquerobi;243;6;;;
3538501;Interior;Piquete;355;17;;;
3538600;Interior;Piracaia;3626;53;;;
3538709;Interior;Piracicaba;63823;1359;;;
3538808;Interior;Piraju;1990;83;;;
3538907;Interior;Pirajuí;2444;60;;;
3539004;Interior;Pirangi;1778;66;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1663;21;;;
3539202;Interior;Pirapozinho;2991;71;;;
3539301;Interior;Pirassununga;9028;248;;;
3539400;Interior;Piratininga;1490;38;;;
3539509;Interior;Pitangueiras;5442;159;;;
3539608;Interior;Planalto;651;10;;;
3539707;Interior;Platina;402;11;;;
3539806;RMSP (exceto capital);Poá;8938;387;;;
3539905;Interior;Poloni;905;18;;;
3540002;Interior;Pompéia;997;36;;;
3540101;Interior;Pongaí;358;11;;;
3540200;Interior;Pontal;5130;162;;;
3540259;Interior;Pontalinda;209;15;;;
3540309;Interior;Pontes Gestal;440;8;;;
3540408;Interior;Populina;343;12;;;
3540507;Interior;Porangaba;940;20;;;
3540606;Interior;Porto Feliz;9286;145;;;
3540705;Interior;Porto Ferreira;7646;166;;;
3540754;Interior;Potim;2032;38;;;
3540804;Interior;Potirendaba;3123;78;;;
3540853;Interior;Pracinha;219;2;;;
3540903;Interior;Pradópolis;1976;37;;;
3541000;Interior;Praia Grande;25558;785;;;
3541059;Interior;Pratânia;877;13;;;
3541109;Interior;Presidente Alves;282;8;;;
3541208;Interior;Presidente Bernardes;1318;40;;;
3541307;Interior;Presidente Epitácio;3280;118;;;
3541406;Interior;Presidente Prudente;31611;875;;;
3541505;Interior;Presidente Venceslau;3673;109;;;
3541604;Interior;Promissão;5542;104;;;
3541653;Interior;Quadra;235;8;;;
3541703;Interior;Quatá;1609;30;;;
3541802;Interior;Queiroz;489;3;;;
3541901;Interior;Queluz;1025;23;;;
3542008;Interior;Quintana;576;27;;;
3542107;Interior;Rafard;1075;11;;;
3542206;Interior;Rancharia;4186;93;;;
3542305;Interior;Redenção da Serra;114;2;;;
3542404;Interior;Regente Feijó;747;63;;;
3542503;Interior;Reginópolis;329;21;;;
3542602;Interior;Registro;6602;216;;;
3542701;Interior;Restinga;722;10;;;
3542800;Interior;Ribeira;460;4;;;
3542909;Interior;Ribeirão Bonito;1074;29;;;
3543006;Interior;Ribeirão Branco;2026;59;;;
3543105;Interior;Ribeirão Corrente;343;4;;;
3543204;Interior;Ribeirão do Sul;698;20;;;
3543238;Interior;Ribeirão dos Índios;93;6;;;
3543253;Interior;Ribeirão Grande;513;9;;;
3543303;RMSP (exceto capital);Ribeirão Pires;9098;349;;;
3543402;Interior;Ribeirão Preto;82401;2913;;;
3543501;Interior;Riversul;547;28;;;
3543600;Interior;Rifaina;466;12;;;
3543709;Interior;Rincão;618;30;;;
3543808;Interior;Rinópolis;662;17;;;
3543907;Interior;Rio Claro;12678;578;;;
3544004;Interior;Rio das Pedras;3651;103;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;2196;88;;;
3544202;Interior;Riolândia;2009;29;;;
3544251;Interior;Rosana;1565;44;;;
3544301;Interior;Roseira;1688;28;;;
3544400;Interior;Rubiácea;232;10;;;
3544509;Interior;Rubinéia;422;10;;;
3544608;Interior;Sabino;286;27;;;
3544707;Interior;Sagres;262;4;;;
3544806;Interior;Sales;534;30;;;
3544905;Interior;Sales Oliveira;1828;30;;;
3545001;RMSP (exceto capital);Salesópolis;664;53;;;
3545100;Interior;Salmourão;362;21;;;
3545159;Interior;Saltinho;1132;20;;;
3545209;Interior;Salto;14630;420;;;
3545308;Interior;Salto de Pirapora;4382;177;;;
3545407;Interior;Salto Grande;1213;16;;;
3545506;Interior;Sandovalina;418;11;;;
3545605;Interior;Santa Adélia;1692;58;;;
3545704;Interior;Santa Albertina;604;22;;;
3545803;Interior;Santa Bárbara d'Oeste;23244;796;;;
3546009;Interior;Santa Branca;1220;34;;;
3546108;Interior;Santa Clara d'Oeste;268;17;;;
3546207;Interior;Santa Cruz da Conceição;675;13;;;
3546256;Interior;Santa Cruz da Esperança;198;4;;;
3546306;Interior;Santa Cruz das Palmeiras;3920;120;;;
3546405;Interior;Santa Cruz do Rio Pardo;6782;172;;;
3546504;Interior;Santa Ernestina;557;15;;;
3546603;Interior;Santa Fé do Sul;5058;118;;;
3546702;Interior;Santa Gertrudes;3936;71;;;
3546801;RMSP (exceto capital);Santa Isabel;6279;255;;;
3546900;Interior;Santa Lúcia;716;22;;;
3547007;Interior;Santa Maria da Serra;839;8;;;
3547106;Interior;Santa Mercedes;280;9;;;
3547205;Interior;Santana da Ponte Pensa;57;3;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;15472;371;;;
3547403;Interior;Santa Rita d'Oeste;298;10;;;
3547502;Interior;Santa Rita do Passa Quatro;1755;40;;;
3547601;Interior;Santa Rosa de Viterbo;2431;44;;;
3547650;Interior;Santa Salete;215;7;;;
3547700;Interior;Santo Anastácio;1888;41;;;
3547809;RMSP (exceto capital);Santo André;65189;3046;;;
3547908;Interior;Santo Antônio da Alegria;805;19;;;
3548005;Interior;Santo Antônio de Posse;3154;49;;;
3548054;Interior;Santo Antônio do Aracanguá;712;33;;;
3548104;Interior;Santo Antônio do Jardim;567;21;;;
3548203;Interior;Santo Antônio do Pinhal;730;8;;;
3548302;Interior;Santo Expedito;185;5;;;
3548401;Interior;Santópolis do Aguapeí;564;18;;;
3548500;Interior;Santos;59616;2127;;;
3548609;Interior;São Bento do Sapucaí;804;12;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;75675;3247;;;
3548807;RMSP (exceto capital);São Caetano do Sul;19769;922;;;
3548906;Interior;São Carlos;27330;529;;;
3549003;Interior;São Francisco;320;13;;;
3549102;Interior;São João da Boa Vista;9140;303;;;
3549201;Interior;São João das Duas Pontes;221;10;;;
3549250;Interior;São João de Iracema;178;7;;;
3549300;Interior;São João do Pau d'Alho;191;1;;;
3549409;Interior;São Joaquim da Barra;6677;161;;;
3549508;Interior;São José da Bela Vista;320;18;;;
3549607;Interior;São José do Barreiro;303;4;;;
3549706;Interior;São José do Rio Pardo;3785;142;;;
3549805;Interior;São José do Rio Preto;94740;2772;;;
3549904;Interior;São José dos Campos;91956;1913;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;687;37;;;
3550001;Interior;São Luiz do Paraitinga;946;26;;;
3550100;Interior;São Manuel;5612;150;;;
3550209;Interior;São Miguel Arcanjo;2093;71;;;
3550308;Capital;São Paulo;960178;37721;;;
3550407;Interior;São Pedro;5755;105;;;
3550506;Interior;São Pedro do Turvo;946;13;;;
3550605;Interior;São Roque;6962;102;;;
3550704;Interior;São Sebastião;8130;170;;;
3550803;Interior;São Sebastião da Grama;1172;33;;;
3550902;Interior;São Simão;1068;27;;;
3551009;Interior;São Vicente;19091;1279;;;
3551108;Interior;Sarapuí;513;5;;;
3551207;Interior;Sarutaiá;128;19;;;
3551306;Interior;Sebastianópolis do Sul;233;7;;;
3551405;Interior;Serra Azul;1373;15;;;
3551504;Interior;Serrana;4742;103;;;
3551603;Interior;Serra Negra;3022;60;;;
3551702;Interior;Sertãozinho;20070;490;;;
3551801;Interior;Sete Barras;1919;42;;;
3551900;Interior;Severínia;2281;68;;;
3552007;Interior;Silveiras;553;6;;;
3552106;Interior;Socorro;4365;71;;;
3552205;Interior;Sorocaba;76657;2815;;;
3552304;Interior;Sud Mennucci;947;13;;;
3552403;Interior;Sumaré;27997;838;;;
3552502;RMSP (exceto capital);Suzano;23391;939;;;
3552551;Interior;Suzanápolis;374;13;;;
3552601;Interior;Tabapuã;1916;59;;;
3552700;Interior;Tabatinga;2081;58;;;
3552809;RMSP (exceto capital);Taboão da Serra;18563;917;;;
3552908;Interior;Taciba;833;24;;;
3553005;Interior;Taguaí;2622;38;;;
3553104;Interior;Taiaçu;401;11;;;
3553203;Interior;Taiúva;905;13;;;
3553302;Interior;Tambaú;2448;48;;;
3553401;Interior;Tanabi;4872;113;;;
